batsman,total_runs,highest_score,total_balls,fours,sixes,strike_rate,total_wickets,runs_conceded,balls_bowled,overs_bowled,economy_rate,catches,stumpings,run_outs
UT Khawaja,134,6,1062,14,3,12.61770245,0,0,0,0,0,0,0,0
UT Yadav,210,6,695,16,8,30.21582734,3025,4077,2894,482,8.458506224,0,0,0
Umar Gul,44,6,65,1,5,67.69230769,153,184,135,22,8.363636364,0,0,0
Umran Malik,25,7,53,1,2,47.16981132,512,758,487,81,9.358024691,0,0,0
V Kohli,7384,7,100199,631,230,7.369335023,264,368,251,41,8.975609756,0,0,0
V Pratap Singh,0,0,0,0,0,0,211,296,204,34,8.705882353,0,0,0
V Sehwag,2888,7,25893,330,106,11.15359364,138,235,136,22,10.68181818,0,0,0
V Shankar,1059,6,9261,73,43,11.43505021,214,305,196,32,9.53125,0,0,0
VG Arora,9,2,30,0,0,30,217,310,203,33,9.393939394,0,0,0
VH Zol,29,6,157,3,1,18.47133758,0,0,0,0,0,0,0,0
VR Aaron,52,6,337,2,2,15.43026706,1059,1458,988,164,8.890243902,0,0,0
VR Iyer,1010,7,11115,86,42,9.086819613,78,115,75,12,9.583333333,0,0,0
VRV Singh,5,4,3,1,0,166.6666667,371,542,360,60,9.033333333,0,0,0
VS Malik,9,4,13,1,0,69.23076923,212,261,205,34,7.676470588,0,0,0
VS Yeligati,2,2,1,0,0,200,32,59,30,5,11.8,0,0,0
VVS Laxman,296,7,2935,33,5,10.08517888,0,0,0,0,0,0,0,0
VY Mahesh,21,5,96,0,0,21.875,359,499,339,56,8.910714286,0,0,0
Vijaykumar Vyshak,15,6,45,0,1,33.33333333,153,253,144,24,10.54166667,0,0,0
Virat Singh,11,4,66,1,0,16.66666667,0,0,0,0,0,0,0,0
Vishnu Vinod,59,6,336,3,3,17.55952381,0,0,0,0,0,0,0,0
Vivrant Sharma,73,6,1159,9,2,6.298533218,21,37,18,3,12.33333333,0,0,0
W Jaffer,139,6,1563,14,3,8.893154191,0,0,0,0,0,0,0,0
WA Mota,63,4,617,2,0,10.21069692,75,97,72,12,8.083333333,0,0,0
WD Parnell,77,6,400,4,1,19.25,758,937,723,120,7.808333333,0,0,0
WP Saha,2903,6,29529,269,84,9.83101358,0,0,0,0,0,0,0,0
WPUJC Vaas,84,7,333,2,3,25.22522523,288,355,282,47,7.553191489,0,0,0
Washington Sundar,415,6,2347,32,9,17.68214742,1010,1240,1000,166,7.469879518,0,0,0
X Thalaivan Sargunam,10,2,136,0,0,7.352941176,0,0,0,0,0,0,0,0
Y Gnaneswara Rao,20,4,152,3,0,13.15789474,6,7,6,1,7,0,0,0
Y Nagar,309,6,3003,20,9,10.28971029,72,125,66,11,11.36363636,0,0,0
